Title,Year,Maynard and Miles,Schottlaender v4.0,Description,Image
Apomorphine,1969,D14,A20,"[Paris]: L'Herne, [1969]. First, Schottlaender A20. Per James Musser: ""Softbound (no hardbound issued). First edition. Prints ""Apomorphine"" in it's entirety (in three-column style), as well as ""Day the Records Went Up,"" ""Coldspring News,"" ""Parenthetically 7 Hertz,"" and more. Among the scarcer Burroughs items. Fine. (French text.)""",Apomorphine.resources/apomorphine_1388185250_o.jpg
The Job,1970,A16b,H9c,"London: Jonathan Cape, 1970. First English, Maynard and Miles A16b. Personal copy of Allen Ginsberg, signed by Ginsberg and Burroughs. Inscribed by Burroughs on title page ""For Allen a co worker of many years with respect for his achievements in the cause of freedom William Burroughs 1980"". Ownership signature of Ginsberg on obverse of leaf before title page, with notation at bottom ""Signed June 12, 1980 by WSB."" Publisher's slip (""with compliments from Tom Maschler Jonathan Cape Ltd. 30 Bedford Square London SW1"") and postcard (with picture of Ginsberg and Peter Orlovsky copyright Elsa Dorfman and the Witkin Gallery) laid in.",The%20Job_2.resources/the-job_522297497_o.jpg
The Last Words of Dutch Schultz,1970,A17a,A22a,"London: Cape Goliard Press, 1970. First, Maynard and Miles A17a. Some yellowing to dust jacket.",The%20Last%20Words%20of%20Dutch%20Schultz.resources/the-last-words-of-dutch-schultz_522293720_o.jpg
The Last Words of Dutch Schultz,1970,A17a,A22a,"London: Cape Goliard Press, 1970. Signed limited first, Maynard and Miles A17a. Signed and numbered by Burroughs, 13 of 100. With tissue wraps as issued.",The%20Last%20Words%20of%20Dutch%20Schultz_1.resources/the-last-words-of-dutch-schultz_522302227_o.jpg
The Soft Machine,1970,A5f,A5e,"London: Corgi Books, 1970. First edition thus. Maynard and Miles A5f.",The%20Soft%20Machine_1.resources/Evernote%20Snapshot%2020171107%20212250.jpg
The Job,1970,A16a,H9b,"New York: Grove Press, Inc., 1970. First, Maynard and Miles A16a.",The%20Job.resources/the-job_522300899_o.jpg
The Braille Film,1970,B55a,G94,"San Francisco: Nova Broadcast Press, 1970. Maynard and Miles B55.",The%20Braille%20Film.resources/the-braille-film_522295784_o.jpg
The Job,1970,A16a,H9b,"New York: Grove Press, Inc., 1970. First, Maynard and Miles A16a. Signed by Burroughs, inscribed ""To Mike”.",The%20Job_1.resources/the-job_522302211_o.jpg
The Job,1970,A16a,H9b,"New York: Grove Press, Inc., 1970. First, Maynard and Miles A16a. Uncorrected proof. Comb-bound in slightly soiled faded orange wrappers.",The%20Job_3.resources/the-job_522299541_o.jpg
IT: 74,1970,C269,C280,Schottlaender C280. Contains Maynard & Miles C269.,IT%3A%2074.resources/Evernote%20Snapshot%2020171107%20212752.jpg
Ali's Smile - Record,1971,A19a,A23a,"Brighton, England: Unicorn Books, 1971. Signed limited first. Maynard and Miles A19a. A copy of the record with sleeve originally supplied with the book. This copy was purchased from a different source than my copy of the book, so there's no evidence that the two constituted a complete set. Since one would expect complete sets to stay together, it is unlikely that they ever were. But together they form a made-up copy.",Ali's%20Smile%20-%20Record.resources/alis-smile---record_522299571_o.jpg
Ali's Smile,1971,A19a,A23a,"Brighton, England: Unicorn Books, 1971. Signed limited first, Maynard and Miles A19a. Signed and numbered by Burroughs, 39 of 99. Unfortunately missing the original box and record.",Ali's%20Smile_1.resources/alis-smile_522300683_o.jpg
Promotional Flyer for Am Here Books,1971,,G61,"Ollon, Switzerland: Am Here Books, 1971. Schottlaender G61. Fascimile of an untitled Burroughs manuscript page, revised text appearing later as ""Seeing Red"" in Exterminator!  Printed on the verso of a promotional announcement for Am Here Books, one of 70 printed. Folded and sealed with a Fluxus stamp as issued.",Promotional%20Flyer%20for%20Am%20Here%20Books.resources/promotional-flyer-for-am-here-books_522298519_o.jpg
Jack Kerouac,1971,A18a,A25,"Paris: L'Herne, 1971. First, Maynard and Miles A18a. Signed by Burroughs at contribution.",Jack%20Kerouac.resources/jack-kerouac_522300641_o.jpg
Letter Out Of Nowhere,1971,,G30,"London: Anthony Harris, 1971. First, Schottlaender G30. Per James Musser: ""Single sheet (done in the style of a letter) printing a cut-up by Burroughs of a Harris text.  Enclosed in a mailing envelope.  Slightly darkened from age, else fine (trivial wear to envelope).""",Letter%20Out%20Of%20Nowhere.resources/letter-out-of-nowhere_522298949_o.jpg
Electronic Revolution Prepublication Announcement,1971,F27,A24a1,"Cambridge: Blackmoor Head Press, 1971. Maynard and Miles F27. The prepublication announcement for Electronic Revolution (Maynard and Miles A21a).",Electronic%20Revolution%20Prepublication%20Announcement.resources/electronic-revolution-prepublication-announcement_522291484_o.jpg
Die elektronische Revolution,1971,D27,A24b,"Bonn: Expanded Media Editions, 1971. Signed limited first German, Maynard and Miles D27. Number 11 of 100.",Die%20elektronische%20Revolution.resources/the-electronic-revolution_522296723_o.jpg
The Wild Boys,1971,A20a,A26a,"New York: Grove Press, Inc., 1971. First, Maynard and Miles A20a. Signed by Burroughs.",The%20Wild%20Boys.resources/the-wild-boys_522298329_o.jpg
Electronic Revolution,1971,A21a,A24a,"Cambridge: Blackmoor Head Press, 1971. Signed limited first, Maynard and Miles A21a. Includes four prints signed by Brion Gysin and publisher's prepublication announcement (Maynard and Miles F27) laid in. Inscribed by Burroughs ""for Philip Kaplan Williams Burroughs."" Number 10 of 50. In slipcase with numbered label.",Electronic%20Revolution_1.resources/electronic-revolution_522300125_o.jpg
Electronic Revolution,1971,A21a,A24a,"Cambridge: Blackmoor Head Press, 1971. First, Maynard and Miles A21a.",Electronic%20Revolution_2.resources/electronic-revolution_522299857_o.jpg
William Burroughs - The Algebra of Need,1971,,I38a,"Buffalo: INTREPID Press, 1971. First, Schottlaender I38a. Signed by Mottram.",William%20Burroughs%20-%20The%20Algebra%20of%20Need.resources/william-burroughs---the-algebra-of-need_522295824_o.jpg
Antaeus 2,1971,C304,C302,Maynard and Miles C304. Signed by Burroughs at entry.,Antaeus%202.resources/antaeus-2_522295128_o.jpg
The Wild Boys,1972,A20b,A20b,"London: Calder and Boyars, 1972. First English, Maynard and Miles A20b. Slightly soiled dust jacket.",The%20Wild%20Boys_2.resources/the-wild-boys_522301153_o.jpg
Time,1972,A11b,A15b,"Sussex, England: Urgency Press Rip-Off, 1972. Maynard and Miles A11b. The piracy of the ""C"" Press edition.",Time.resources/time_522292410_o.jpg
Time,1972,A11b,A15b,"Sussex, England: Urgency Press Rip-Off, 1972. Maynard and Miles A11b. The piracy of the ""C"" Press edition.  Some yellowing at top and bottom.",Time_2.resources/time_522299959_o.jpg
The Wild Boys,1972,A20d,A26c,"New York: Grove Press, Inc., 1972. First American paperback, Maynard and Miles A20d. Signed by Burroughs.",The%20Wild%20Boys_1.resources/the-wild-boys_522300427_o.jpg
Brion Gysin Let The Mice In,1973,A22a,G31,"West Glover: Something Else Press, Inc., 1973. First, Maynard and Miles A22a. Dust jacket slightly worn and rubbed in places.",Brion%20Gysin%20Let%20The%20Mice%20In.resources/brion-gysin-let-the-mice-in_522293016_o.jpg
Catalogue of the William S. Burroughs Archive,1973,,I6,"London/Ollon: Covent Garden Press, Ltd./Am Here Books, 1973. Schottlaender I128. Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. Some foxing to edges, and the top edge of the front of the acetate dust jacket is cut off. ",Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive_1.resources/catalogue-of-the-william-s-burroughs-archive_522297323_o.jpg
Ali's Smile,1973,,A22b,"Bonn, Germany: Expanded Media Editions, 1973. Signed limited first German edition, Schottlaender A22b. Bilingual English/German text. Number 22 of 100, signed by Burroughs.",Ali's%20Smile.resources/alis-smile_522297177_o.jpg
A Descriptive Catalogue of the William S. Burroughs Archive,1973,,I6,"London/Ollon: Covent Garden Press, Ltd./Am Here Books, 1973. Schottlaender I128. Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, lettered O of 26. Bound in white leather. Laid in is a typescript signed by Burroughs with corrections in Burroughs' hand, corresponding to but with variations from the text on page 161 of the catalog describing Item 1 from Folio Number 65, starting ""Audrey Carsons, the Dead Child, the Frisco Kid..."" In slipcase. ",Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive.resources/catalogue-of-the-william-s-burroughs-archive_522288794_o.jpg
Proposed Layout For WSB Archive Description,1973,,,"n.p., 1973. Drawing by Barry Miles titled ""Proposed Layout For WSB Archive Description"", in reference to the ""A Descriptive Catalogue of the William S . Burroughs Archive,"". Drawing signed by Miles. Together with a letter and stamped envelope from Roberto Altmann to Philip Kaplan discussing a question about publishing matters at Altmann's Aperios imprint, and a 1974 New's Year greetings card from Maggy and Roberto Altmann, with artwork signed ""MA.""",William%20Burroughs%20Archive%20-%20Proposed%20Layout%20For%20WSB%20Archive%20Description.resources/william-burroughs-archive---proposed-layout-for-wsb-archive-description_522290384_o.jpg
White Subway,1973,A24a,A30,"London: Aloes Press, 1973. Signed limited first, Maynard and Miles A24a. Signed by Burroughs. Number 13 of 25. In custom clamshell case.",White%20Subway.resources/white-subway_522297133_o.jpg
William Burroughs Archive Contract,1973,,,"Vaduz, Liechtenstein: n.p., 1973. Richard Aaron's copy of the contract (in German) for the sale of Burroughs' literary archive, as described in ""A Descriptive Catalogue of the William S. Burroughs Archive,"" to Roberto Altmann. Signed by Burroughs, Brion Gysin, Richard Aaron and Altmann, and dated 23 June 1973. This is the archive now in the Berg Collection of the New York Public Library.",William%20Burroughs%20Archive%20-%20Contract.resources/william-burroughs-archive---contract_522290360_o.jpg
A Descriptive Catalogue of the William S. Burroughs Archive,1973,,I6,"London/Ollon: Covent Garden Press, Ltd./Am Here Books, 1973. Schottlaender I128. Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. A presentation copy from Brion Gysin to Richard and Lilia Aaron. This copy has a full-page calligraphic drawing by Gysin (similar in form to the one numbered ""iv"" on the cover of the catalog) on the recto of the leaf before the title page. Signed by Gysin and inscribed ""for Lilia + Richard with love."" In acetate dust jacket.",Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive_2.resources/catalogue-of-the-william-s-burroughs-archive_522289296_o.jpg
